Component Name,Instance Location (Frame),Violation Category,Current State,Expected State,Severity,Fix Instructions

Button/CTA,/components/TabletLuxuryShowcase.tsx:996,#2 Inconsistent Button Variant,Manual styling with hardcoded background #D4AF37,Use Button-Primary component from design system,Critical,"Delete manual button styling. Import Button component from design system. Replace inline CSS with component props."

Button/CTA,/components/TabletLuxuryShowcase.tsx:1171,#2 Inconsistent Button Variant,Manual styling with hardcoded background #D4AF37,Use Button-Primary component,Critical,"Replace manual CSS with Button component instance. Set variant='primary' size='large'."

Button/CTA,/components/CTAButton.tsx:39,#6 Color Token Violation,Hardcoded backgroundColor '#D4AF37',Use CSS variable var(--brand-gold),High,"Replace backgroundColor: '#D4AF37' with backgroundColor: 'var(--brand-gold)'"

Button/Secondary,/components/TabletLuxuryShowcase.tsx:805,#2 Inconsistent Button Variant,Custom class 'tablet-summary-btn-secondary',Use Button-Secondary component,High,"Replace custom class with Button component. Set variant='secondary'."

Navigation/Links,/components/GlassmorphicNavigation.tsx:Multiple,#3 Navigation Component Desync,Mixed responsive visibility logic,Standardized breakpoint-specific variants,Medium,"Implement consistent breakpoint swapping: Desktop variant >1440px, Tablet 768-1439px, Mobile <768px"

Typography/Text,/components/TabletLuxuryShowcase.tsx:946,#5 Typography Style Violations,Manual line-height: 1.4,Use defined text style with locked line-height,Medium,"Replace manual line-height with text style class. Use .text-body-large or equivalent."

Typography/Text,/components/TabletLuxuryShowcase.tsx:1274,#5 Typography Style Violations,Manual line-height: 1.1,Use Heading-Desktop-H1 text style,Medium,"Apply predefined heading text style instead of manual line-height."

Spacing/Padding,/components/TabletLuxuryShowcase.tsx:914,#7 Spacing Token Non-compliance,padding: 16px 32px (off 8-pt grid),Use token-based spacing,Low,"Replace with padding: var(--spacing-2) var(--spacing-4) for 16px 32px"

Spacing/Padding,/components/TabletLuxuryShowcase.tsx:1377,#7 Spacing Token Non-compliance,padding: 24px 16px (inconsistent),Use symmetric padding var(--spacing-3) var(--spacing-2),Low,"Standardize padding using spacing tokens"

Card/Trust,/components/TabletLuxuryShowcase.tsx:1377,#4 Card Component Inconsistencies,Custom card with manual padding,Use Card-Trust component,Medium,"Replace custom card implementation with Card-Trust component from design system"

Button/Filter,/components/TabletLuxuryShowcase.tsx:652,#2 Inconsistent Button Variant,Custom filter button classes,Use Button-Filter component variant,Medium,"Implement Button-Filter component with State=Active/Default variants"

Effect/Shadow,/components/TabletLuxuryShowcase.tsx:1003,#8 Effect Style Inconsistencies,Custom box-shadow values,Use var(--gold-glow) effect style,Low,"Replace manual box-shadow with CSS variable: box-shadow: var(--gold-glow)"

Color/Background,/components/TabletLuxuryShowcase.tsx:1137,#6 Color Token Violations,Hardcoded background: #D4AF37,Use var(--brand-gold),High,"Replace hardcoded color with CSS variable"

Color/Background,/components/TabletLuxuryShowcase.tsx:1651,#6 Color Token Violations,Hardcoded background: #C0C0C0,Use var(--brand-chrome),High,"Replace hardcoded color with CSS variable"

Responsive/Variant,/components/ServicesGridProportional.tsx:418,#9 Responsive Variant Mismatches,Mobile 1-column changed to 2-column,Mobile should use Mobile-Service-Card variant,Critical,"Implement separate Mobile-Service-Card component variant for 2-column layout"

Auto-layout/Grid,/components/ArtistsPage.tsx:479,#10 Auto-layout Configuration Errors,Manual flexbox layout for artist buttons,Use Auto Layout space-between with 16px gap,Medium,"Implement CSS Grid or Flexbox with justify-content: space-between and gap: 16px"

Touch-Target,/components/TabletLuxuryShowcase.tsx:1124,#15 Touch Target Violations,Button padding may create <44px touch target,Ensure min-height: 44px on interactive elements,High,"Add min-height: 44px and verify touch target compliance"

States/Hover,/components/TabletLuxuryShowcase.tsx:652,#11 Missing Component States,Filter button missing disabled state,Add Button-Filter-Disabled variant,Medium,"Implement disabled state for filter buttons when no results"

States/Focus,Multiple Buttons,#11 Missing Component States,Missing focus states on custom buttons,Add focus states with gold outline,High,"Add :focus styles with outline: 2px solid var(--brand-gold) and outline-offset: 2px"

Naming/Convention,/components/TabletLuxuryShowcase.tsx:Multiple,#12 Naming Convention Violations,Inconsistent class naming (tablet-*, mobile-*),Use [Component]/[Variant] naming convention,Low,"Rename classes to follow Component/Variant pattern: Button/Primary, Card/Service, etc."

Dependencies/Nesting,/components/ServicesGridProportional.tsx:Line 698,#13 Component Dependency Issues,ServicesGridProportional nested in ServicesPage,Extract to separate module with proper imports,Medium,"Move ServicesGridProportional to dedicated file and import properly"

Accessibility/ARIA,/components/TabletLuxuryShowcase.tsx:Multiple,#14 Accessibility Property Gaps,Buttons missing aria-label attributes,Add descriptive aria-labels,High,"Add aria-label props to all interactive elements for screen readers"

Variant-Coverage/Mobile,/components/GlassmorphicNavigation.tsx,#15 Variant Coverage Gaps,Navigation missing Mobile variant,Create Navigation-Mobile component,Critical,"Implement separate Navigation-Mobile component with hamburger menu and slide-out panel"

Variant-Coverage/States,/components/CookieConsentBanner.tsx,#15 Variant Coverage Gaps,Cookie buttons missing loading states,Add Button-Loading variant,Medium,"Implement loading state for cookie consent buttons during processing"

Typography/Manual,/components/TabletLuxuryShowcase.tsx:1563,#5 Typography Style Violations,Manual font styling instead of text classes,Use predefined typography classes,Medium,"Replace manual font-weight and line-height with .text-headline-md class"

Grid/Manual,/components/TabletLuxuryShowcase.tsx:1490,#10 Auto-layout Configuration Errors,Manual min-height instead of grid auto-sizing,Use CSS Grid with auto rows,Low,"Replace fixed min-height with CSS Grid auto-sizing: grid-template-rows: auto"

Effects/Hardcoded,/components/TabletLuxuryShowcase.tsx:2061,#8 Effect Style Inconsistencies,Hardcoded hover background color,Use design system hover states,Medium,"Replace manual hover effects with design system hover classes"

Color/Opacity,/components/TabletLuxuryShowcase.tsx:946,#6 Color Token Violations,Manual color with opacity,Use predefined color tokens with opacity variants,Low,"Use color: var(--brand-chrome-80) instead of manual opacity"

Spacing/Inconsistent,/components/TabletLuxuryShowcase.tsx:1662,#7 Spacing Token Non-compliance,padding: 48px 32px (inconsistent with other sections),Standardize section padding across components,Medium,"Use consistent section padding tokens: var(--section-padding-tablet)"

Button/Height,/components/ServicesPage.tsx:245,#2 Inconsistent Button Variant,Button height 60px (non-standard),Use standard button heights 44px/48px/56px,High,"Change button height to 56px for desktop, 48px for mobile/tablet"

Touch/Mobile,/components/ArtistsPage.tsx:486,#15 Touch Target Violations,Artist card buttons may be too small on mobile,Ensure 44Ã—44px minimum touch targets,Critical,"Verify and enforce min-height: 44px and min-width: 44px on mobile"

Layout/Breakpoint,/components/ServicesGridProportional.tsx:422,#9 Responsive Variant Mismatches,Tablet uses same grid as mobile,Tablet should have dedicated 2-column variant,Medium,"Implement Tablet-Service-Grid component with 2-column layout"

Animation/Transition,/components/TabletLuxuryShowcase.tsx:Multiple,#8 Effect Style Inconsistencies,Inconsistent transition durations and easings,Standardize transitions using design system values,Low,"Use consistent transition: all 0.3s var(--luxury-timing)"

Form/Input,/components/CookieConsentBanner.tsx,#15 Variant Coverage Gaps,Cookie preference inputs missing validation states,Add Input-Error and Input-Success variants,Medium,"Implement form validation states for cookie preferences"

Component/Detached,/components/TabletLuxuryShowcase.tsx:Multiple,#1 Detached Component Instances,Custom components not linked to master design system,Link all components to master component library,Critical,"Replace custom implementations with design system components. Import from component library."

Card/Proportions,/components/ArtistsPage.tsx:434,#4 Card Component Inconsistencies,Artist card heights inconsistent across breakpoints,Use proportional sizing from design system,Medium,"Implement responsive card heights: 280px mobile, 320px tablet, 350px desktop"

Navigation/Accessibility,/components/GlassmorphicNavigation.tsx,#14 Accessibility Property Gaps,Mobile menu missing keyboard navigation,Add proper keyboard navigation support,High,"Implement arrow key navigation, escape key closing, and focus management"

Icon/Size,/components/TabletLuxuryShowcase.tsx:Multiple,#4 Card Component Inconsistencies,Icon sizes inconsistent (16px, 20px, 24px mixed),Standardize icon sizes per component type,Low,"Use consistent icon sizes: 16px for buttons, 24px for cards, 32px for headers"

Z-Index/Conflicts,/components/CookieConsentBanner.tsx,#3 Navigation Component Desync,Cookie banner z-index may conflict with navigation,Use systematic z-index scale,Medium,"Implement z-index system: nav=1000, modal=2000, toast=3000"

Performance/Optimization,/components/TabletLuxuryShowcase.tsx:Multiple,#13 Component Dependency Issues,Inline styles causing re-renders,Move styles to CSS classes,Low,"Replace inline styles with CSS classes to improve performance"

Border-Radius/Inconsistent,/components/TabletLuxuryShowcase.tsx:Multiple,#8 Effect Style Inconsistencies,Mixed border-radius values (12px, 16px, 20px),Standardize to design system values,Low,"Use consistent border-radius: 8px buttons, 12px cards, 16px modals"

Focus/Visible,/components/GlassmorphicNavigation.tsx,#11 Missing Component States,Focus-visible states missing on navigation links,Add focus-visible with gold outline,High,"Implement :focus-visible with outline: 2px solid var(--brand-gold)"

Mobile/Stacking,/components/ArtistsPage.tsx:479,#15 Variant Coverage Gaps,Artist buttons don't stack vertically on small mobile,Add responsive stacking for <480px screens,Medium,"Implement vertical stacking with CSS: flex-direction: column for mobile"

Text/Contrast,/components/TabletLuxuryShowcase.tsx:Multiple,#6 Color Token Violations,Text contrast may not meet WCAG AA standards,Verify and fix contrast ratios,High,"Audit all text/background combinations for WCAG AA compliance (4.5:1 ratio minimum)"

Component/Reusability,/components/TabletLuxuryShowcase.tsx:All,#1 Detached Component Instances,Entire showcase is custom implementation,Extract reusable components to design system,Critical,"Break down showcase into reusable components: Hero, ServiceGrid, ArtistGrid, Gallery, Footer"

Spacing/Rhythm,/components/ServicesPage.tsx:Multiple,#7 Spacing Token Non-compliance,Vertical rhythm inconsistent between sections,Implement consistent vertical spacing system,Medium,"Use spacing tokens for consistent rhythm: var(--spacing-section-mobile/tablet/desktop)"

Language/Toggle,/components/GlassmorphicNavigation.tsx,#15 Variant Coverage Gaps,Language toggle missing active/inactive states,Add Language-Toggle component with states,Low,"Create Language-Toggle component with Active/Inactive state variants"

Loading/States,Multiple Components,#11 Missing Component States,Components missing loading states for async operations,Add Loading variants to all async components,Medium,"Implement skeleton loading states for gallery, artist cards, and service cards"