Component,Location(Frame/Page),Linked to Master (Yes/No),Variants Present (D/T/M),States Present (Hover/Focus/Active/Disabled/Loading)
OrganismNavigationGlassmorphic,App.tsx/All Pages,No,D/T/M - Partial,Hover/Focus - Missing Disabled/Loading
MoleculeNavigationBreadcrumb,App.tsx/All Pages,No,D/T/M - Complete,Focus - Missing Hover/Disabled/Loading
OrganismFooterComprehensive,App.tsx/All Pages,No,D/T/M - Complete,Hover/Focus - Missing Disabled/Loading
OrganismBookingFlowDefault,App.tsx/Modal,No,D/T/M - Partial,Hover/Focus - Missing Disabled/Loading
CookieConsentBanner,App.tsx/Global,No,D/T/M - Complete,Hover/Focus/Active - Missing Disabled/Loading
StickyBookingCTA,App.tsx/Global,No,D/T/M - Complete,Hover/Focus/Active - Missing Disabled/Loading
AccessibilityEnhancements,App.tsx/Global,No,D/T/M - Partial,Focus - Missing Hover/Active/Disabled/Loading
HomePage,components/pages,No,D/T/M - Complete,Mixed States
ServicesPage,components/ServicesPage.tsx,No,D/T/M - Complete,Hover/Focus - Missing Disabled/Loading
ArtistsPage,components/ArtistsPage.tsx,No,D/T/M - Complete,Hover/Focus - Missing Disabled/Loading
GalleryPage,components/GalleryPage.tsx,No,D/T/M - Complete,Hover/Focus - Missing Disabled/Loading
ContactPage,components/ContactPage.tsx,No,D/T/M - Partial,Hover/Focus - Missing Disabled/Loading
PricingPageSimple,components/PricingPageSimple.tsx,No,D/T/M - Partial,Hover/Focus - Missing Disabled/Loading
Button(App.tsx),App.tsx/Error States,No,D/T/M - Complete,Hover - Missing Focus/Active/Disabled/Loading
CategoryCard,ServicesPage.tsx,No,D/T/M - Partial,Hover/Focus/Active - Missing Disabled/Loading
ServiceCard,ServicesPage.tsx,No,D/T/M - Partial,Hover/Focus - Missing Active/Disabled/Loading
ArtistCard,ArtistsPage.tsx,No,D/T/M - Complete,Hover/Focus - Missing Active/Disabled/Loading
GalleryTile,GalleryPage.tsx,No,D/T/M - Partial,Hover - Missing Focus/Active/Disabled/Loading
BookingStepCard,BookingFlow.tsx,No,D/T/M - Partial,Hover/Focus/Active - Missing Disabled/Loading
PricingCard,PricingPageSimple.tsx,No,D/T/M - Partial,Hover/Focus - Missing Active/Disabled/Loading
MobileServiceCard,styles/globals.css,No,Mobile Only,Hover/Focus - Missing Active/Disabled/Loading
MobileArtistCard,styles/globals.css,No,Mobile Only,Hover/Focus - Missing Active/Disabled/Loading
MobileTrustCard,styles/globals.css,No,Mobile Only,Hover/Focus - Missing Active/Disabled/Loading
TabletLuxuryShowcase,components/TabletLuxuryShowcase.tsx,No,Tablet Only,Hover - Missing Focus/Active/Disabled/Loading
NavigationLink,GlassmorphicNavigation.tsx,No,D/T/M - Complete,Hover/Focus/Active - Missing Disabled/Loading
LanguageToggle,GlassmorphicNavigation.tsx,No,D/T/M - Complete,Hover/Focus/Active - Missing Disabled/Loading
CTAButton,components/CTAButton.tsx,No,D/T/M - Partial,Hover/Focus - Missing Active/Disabled/Loading
FilterButton,ArtistsPage.tsx,No,D/T/M - Partial,Hover/Focus - Missing Active/Disabled/Loading
FormInput,ContactPage.tsx,No,D/T/M - Partial,Focus - Missing Hover/Active/Disabled/Loading
FormTextarea,ContactPage.tsx,No,D/T/M - Partial,Focus - Missing Hover/Active/Disabled/Loading
ModalOverlay,BookingFlow.tsx,No,D/T/M - Complete,Focus - Missing Hover/Active/Disabled/Loading
LoadingSpinner,components/layout/LoadingSpinner,No,D/T/M - Complete,Loading Only - Missing Other States
ErrorBoundary,components/layout/ErrorBoundary,No,D/T/M - Complete,Error State Only