"url","element","de_text","en_text","issue","screenshot_de","screenshot_en"
"https://www.muenchen-tattoo-studio.de/","title","Medusa Tattoo München – Premium Tattoo & Piercing Studio am Marienplatz","Medusa Tattoo München – Premium Tattoo & Piercing Studio am Marienplatz","identical_title","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_.png"
"https://www.muenchen-tattoo-studio.de/artists","title","Medusa Tattoo München | Artists","Medusa Tattoo München | Artists","identical_title","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_artists.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_artists.png"
"https://www.muenchen-tattoo-studio.de/artists","h1","Künstler","Künstler","identical_h1","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_artists.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_artists.png"
"https://www.muenchen-tattoo-studio.de/services","title","Medusa Tattoo München | Services","Medusa Tattoo München | Services","identical_title","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_services.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_services.png"
"https://www.muenchen-tattoo-studio.de/services","h1","Unsere Services","Unsere Services","identical_h1","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_services.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_services.png"
"https://www.muenchen-tattoo-studio.de/gallery","title","Medusa Tattoo München | Galerie","Medusa Tattoo München | Galerie","identical_title","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_gallery.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_gallery.png"
"https://www.muenchen-tattoo-studio.de/contact","title","Medusa Tattoo München | Kontakt","Medusa Tattoo München | Kontakt","identical_title","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_contact.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_contact.png"
"https://www.muenchen-tattoo-studio.de/contact","h1","Kontakt","Kontakt","identical_h1","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_contact.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_contact.png"
"https://www.muenchen-tattoo-studio.de/booking","title","Medusa Tattoo München | Termin Buchen","Medusa Tattoo München | Termin Buchen","identical_title","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_booking.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_booking.png"
"https://www.muenchen-tattoo-studio.de/aftercare","title","Medusa Tattoo München – Premium Tattoo & Piercing Studio am Marienplatz","Medusa Tattoo München – Premium Tattoo & Piercing Studio am Marienplatz","identical_title","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_aftercare.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_aftercare.png"
"https://www.muenchen-tattoo-studio.de/aftercare","h1","Tattoo Nachsorge","Tattoo Nachsorge","identical_h1","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_aftercare.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_aftercare.png"
"https://www.muenchen-tattoo-studio.de/faq","title","Medusa Tattoo München | FAQ","Medusa Tattoo München | FAQ","identical_title","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_faq.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_faq.png"
"https://www.muenchen-tattoo-studio.de/faq","h1","Häufige Fragen (FAQ)","Häufige Fragen (FAQ)","identical_h1","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_faq.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_faq.png"
"https://www.muenchen-tattoo-studio.de/impressum","title","Medusa Tattoo München – Premium Tattoo & Piercing Studio am Marienplatz","Medusa Tattoo München – Premium Tattoo & Piercing Studio am Marienplatz","identical_title","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_impressum.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_impressum.png"
"https://www.muenchen-tattoo-studio.de/impressum","h1","Impressum","Impressum","identical_h1","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_impressum.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_impressum.png"
"https://www.muenchen-tattoo-studio.de/datenschutz","title","Medusa Tattoo München – Premium Tattoo & Piercing Studio am Marienplatz","Medusa Tattoo München – Premium Tattoo & Piercing Studio am Marienplatz","identical_title","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_datenschutz.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_datenschutz.png"
"https://www.muenchen-tattoo-studio.de/datenschutz","h1","Datenschutzerklärung","Datenschutzerklärung","identical_h1","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_datenschutz.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_datenschutz.png"
"https://www.muenchen-tattoo-studio.de/agb","title","Medusa Tattoo München | AGB","Medusa Tattoo München | AGB","identical_title","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_agb.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_agb.png"
"https://www.muenchen-tattoo-studio.de/agb","h1","Allgemeine Geschäftsbedingungen","Allgemeine Geschäftsbedingungen","identical_h1","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_agb.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_agb.png"